도착 시군구 코드,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구,나이,65세 이상 이동 인구
11200,59.79302746228641,38.834440677421426,26048952,16918301.75,80,13489
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,65,28432
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,70,21923
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,75,15969
11210,64.36688534335673,47.295307126457224,27501846,20207723.99,80,12020
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,65,34706
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,70,26630
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,75,20486
11220,64.03296779278968,63.44419732867633,32412912,32114881.69,80,15496
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,65,38034
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,70,29946
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,75,22923
11230,66.01025750898174,88.58993223634235,37279755,50031784.36,80,16862
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,65,32555
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,70,24520
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,75,17738
11240,71.78661863643588,79.38985580335859,33877900,37466057.7,80,12661
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,65,26278
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,70,19986
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,75,14786
11250,72.59769819258544,62.66685316933961,27092372,23386329.6,80,10405
